TrialNumber	StartTime	EndTime	CoherenceAngle	StaircaseNumber	CombinedResponse	CorrectVertical	CorrectHorizontal		GazeError		HeadError		StimulusDirection
0	29734.05	30811.16	0	1	True	True	True		"(0.0, 0.0, 0.0)"		0.4345197	0	NE
1	33876.2	34708.29	0	1	True	True	True		"(0.0, 0.0, 0.0)"		0.4799633	0	NW
2	37901.98	38666.2	40	1	True	True	True		"(0.0, 0.0, 0.0)"		0.08280163	0	SW
3	41913.28	42722.38	40	1	True	True	True		"(0.0, 0.0, 0.0)"		0.8567583	0	NE
4	45931.62	47441.66	80	1	True	True	True		"(0.0, 0.0, 0.0)"		0.8521038	0	SE
5	49952.02	50863.9	80	1	True	True	True		"(0.0, 0.0, 0.0)"		0.9137675	0	NW
6	53960.63	54769.8	120	1	True	True	True		"(0.0, 0.0, 0.0)"		0.3950409	0	SE
7	57977.73	58944.29	120	1	True	True	True		"(0.0, 0.0, 0.0)"		0.3999012	0	SE
8	61998.58	62896.93	160	1	True	True	True		"(0.0, 0.0, 0.0)"		0.2423477	0	SW
9	66013.35	67560.74	160	1	True	True	True		"(0.0, 0.0, 0.0)"		0.7989266	0	NW
10	70032.91	71529.98	200	1	False	False	True		"(0.0, 0.0, 0.0)"		0.3206913	0	NW
11	74064.11	74994.45	160	1	True	True	True		"(0.0, 0.0, 0.0)"		0.4918069	0	NW
12	78078.8	79056.34	160	1	True	True	True		"(0.0, 0.0, 0.0)"		0.4214062	0	SE
13	82105.53	83002.18	200	1	False	False	True		"(0.0, 0.0, 0.0)"		0.6072056	0	NW
14	86117.05	86845.89	160	1	True	True	True		"(0.0, 0.0, 0.0)"		0.3746998	0	NE
15	90136.36	91095.67	160	1	True	False	True		"(0.0, 0.0, 0.0)"		0.89332	0	NE
16	94162.8	94919.01	120	1	True	True	True		"(0.0, 0.0, 0.0)"		0.7988878	0	NW
17	98176.18	98849.66	120	1	True	True	True		"(0.0, 0.0, 0.0)"		0.6638075	0	SW
18	102208	103856.2	160	1	True	True	True		"(0.0, 0.0, 0.0)"		0.7405745	0	SE
19	106230.7	107051.9	160	1	True	True	True		"(0.0, 0.0, 0.0)"		2.251134	0	NE
20	110244	111136.5	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.4925112	0	SW
21	114263	115018.2	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.5694652	0	NE
22	118283.8	119407.8	240	1	False	False	True		"(0.0, 0.0, 0.0)"		0.259173	0	NE
23	122301.7	123637.4	200	1	False	False	True		"(0.0, 0.0, 0.0)"		0.6233767	0	NW
24	126353.6	127369.8	160	1	True	True	True		"(0.0, 0.0, 0.0)"		1.853271	0	SE
25	130385.6	131837	160	1	True	True	True		"(0.0, 0.0, 0.0)"		1.334948	0	SE
26	134405.9	135448.8	200	1	True	True	True		"(0.0, 0.0, 0.0)"		1.693098	0	SW
27	138418.5	139609.3	200	1	True	True	True		"(0.0, 0.0, 0.0)"		1.633475	0	SE
28	146461.9	147808.5	240	1	False	False	True		"(0.0, 0.0, 0.0)"		1.007755	0	NW
29	150839.5	151846.6	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.2521564	0	SE
30	154869.3	156385.4	200	1	True	True	True		"(0.0, 0.0, 0.0)"		1.603112	0	SE
