TrialNumber		StartTime	EndTime	CoherenceAngle	StaircaseNumber		bothstair	vertical stair	horz stair	CombinedResponse		both	CorrectVertical	both	own	both	own	CorrectHorizontal	both	own	both	own	GazeError		HeadError				StimulusDirection
0		27839.02	29156.38	0	1	0	19	8	11	TRUE	9	0.473684211	TRUE	9	5	0.473684211	0.625	TRUE	9	4	0.363636364	0.444444444	"(0.0, 0.0, 0.0)"		1.169895		0		SE
1		32908.26	34167.11	0	2	40	12	6	6	FALSE	8	0.666666667	FALSE	8	4	0.666666667	0.666666667	FALSE	8	4	0.666666667	0.5	"(0.0, 0.0, 0.0)"		0.9572023		0		SW
2		36931.8	38383.42	0	2	80	18	9	9	TRUE	17	0.944444444	TRUE	17	8	0.944444444	0.888888889	TRUE	17	9	1	0.529411765	"(0.0, 0.0, 0.0)"		0.7369151		0		SW
3		40954.04	42693.02	0	2	120	20	10	10	FALSE	14	0.7	FALSE	17	8	0.85	0.8	FALSE	15	8	0.8	0.533333333	"(0.0, 0.0, 0.0)"		1.210256		0		NW
4		44966.9	45992.28	0	2	160	18	12	6	FALSE	11	0.611111111	FALSE	13	9	0.722222222	0.75	FALSE	16	6	1	0.375	"(0.0, 0.0, 0.0)"		0.8410336		0		SE
5		48984.91	50723.29	0	2	200	37	16	21	FALSE	14	0.378378378	FALSE	24	12	0.648648649	0.75	FALSE	26	15	0.714285714	0.576923077	"(0.0, 0.0, 0.0)"		1.156953		0		NW
6		53049.23	54254.95	0	1	240	38	16	22	FALSE	6	0.157894737	FALSE	21	10	0.552631579	0.625	FALSE	22	15	0.681818182	0.681818182	"(0.0, 0.0, 0.0)"		0.9781441		0		SW
7		57069.77	58675.23	0	2	280	28	14	14	FALSE	3	0.107142857	FALSE	15	10	0.535714286	0.714285714	FALSE	12	9	0.642857143	0.75	"(0.0, 0.0, 0.0)"		1.181351		0		NW
8		61096.16	62095.58	0	1	320	9	4	5	TRUE	0	0	TRUE	5	3	0.555555556	0.75	TRUE	3	2	0.4	0.666666667	"(0.0, 0.0, 0.0)"		1.135642		0		NE
9		66798.63	68695.7	0	2	338	2	1	1	FALSE	0	0	FALSE	1	0	0.5	0	FALSE	1	0	0	0	"(0.0, 0.0, 0.0)"		1.456417		0		NW
10		70825.69	72222.45	0	1					FALSE			FALSE					FALSE					"(0.0, 0.0, 0.0)"		0.7265276		0		SW
11		74852.09	76049.57	0	2					FALSE			FALSE					FALSE					"(0.0, 0.0, 0.0)"		0.7431985		0		NW
12		78868.16	80011.07	0	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.136161		0		SW
13		82892.15	85093.83	0	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.037014		0		SE
14		86911.89	88288.56	0	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.062442		0		SE
15		90932.79	92376.18	40	1					FALSE			FALSE					FALSE					"(0.0, 0.0, 0.0)"		1.240311		0		NW
16		94961.31	96025.8	0	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.010302		0		NE
17		98979.29	100545.4	0	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.447442		0		SE
18		103000.2	104238.6	40	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		0.6974975		0		NE
19		107022.2	108291.8	40	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		0.8881786		0		SW
20		111046.6	112321.5	80	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.447434		0		NW
21		115056.5	116333.5	40	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		0.9744467		0		SE
22		119087.8	120442.6	40	2					FALSE			FALSE					FALSE					"(0.0, 0.0, 0.0)"		1.014617		0		NW
23		123107.6	124386.9	40	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.332483		0		NE
24		127128.1	128438.4	40	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.646193		0		NW
25		135169.2	136582.3	80	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.489508		0		NW
26		139178.8	140828.3	80	1					FALSE			FALSE					FALSE					"(0.0, 0.0, 0.0)"		1.681859		0		NW
27		143199.4	144383.7	40	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		0.6820358		0		NE
28		147208.2	148416.7	40	1					FALSE			FALSE					FALSE					"(0.0, 0.0, 0.0)"		0.7802271		0		NE
29		151851.3	153367.9	0	1					FALSE			FALSE					FALSE					"(0.0, 0.0, 0.0)"		0.9276806		0		NW
30		155871.5	156974.1	0	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.173503		0		NE
31		159892.9	161253.3	120	1					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.377465		0		NE
32		163913	165446.6	120	1					FALSE			FALSE					FALSE					"(0.0, 0.0, 0.0)"		1.955947		0		SW
33		167930	169161.2	120	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		0.9073547		0		SE
34		177772.9	179048.1	120	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		0.6590025		0		SW
35		181790.7	183161.1	120	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		0.632383		0		NW
36		185814.6	187168.9	40	2					FALSE			FALSE					FALSE					"(0.0, 0.0, 0.0)"		1.676296		0		NW
37		189832.1	191008.5	80	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.503485		0		SW
38		197987.3	199159	80	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.614159		0		NE
39		202008.8	203226.2	80	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.442245		0		SE
40		206031.1	207300.6	80	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		0.8535686		0		NW
41		210825.8	212054.5	120	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.460477		0		SE
42		214836	216369.1	120	2					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.402364		0		NW
43		219006.4	220131.5	80	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.303517		0		SE
44		223021.2	224331.7	80	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.164612		0		SW
45		227824.6	229040.4	80	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.416068		0		NW
46		231837.4	233277.2	120	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.076621		0		SW
47		235854.9	237154.5	120	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		0.6338298		0		SE
48		239869	241126.2	120	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.354207		0		SE
49		243889.8	245329.5	160	2					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.528105		0		SE
50		247919.9	249238.8	160	1					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		0.5308471		0		NE
51		251943.5	252985.2	80	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.547918		0		NE
52		255962.4	257145.2	80	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.627109		0		SE
53		259981.6	261574.5	120	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.168358		0		SE
54		268012.5	269198.1	120	2					FALSE			FALSE					FALSE					"(0.0, 0.0, 0.0)"		1.654886		0		SW
55		272039.3	273062.6	120	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.383123		0		NE
56		276064.4	277205.7	120	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		0.9615919		0		SE
57		280083	281238.1	160	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.320705		0		SW
58		284105.6	285222.3	160	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.773437		0		SE
59		288120.8	289098.3	200	2					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.727594		0		NE
60		292138.1	293230.3	200	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.756976		0		SE
61		296395.5	297870.8	240	2					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.100107		0		NW
62		300406.1	301619.9	200	1					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.674761		0		NW
63		304429.9	305535.6	80	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.331775		0		SE
64		308994	310067	80	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.244703		0		SW
65		313016.5	314109.9	80	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		0.9351377		0		SW
66		317024.6	318118.9	240	1					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.78196		0		NE
67		321045.6	322220.9	40	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.127145		0		NE
68		325861.3	327019.8	40	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.677917		0		SW
69		333906.3	335177.9	80	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.372375		0		NW
70		337926.3	339170.5	80	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.319982		0		NW
71		341946.4	343019.5	80	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.393422		0		NE
72		345967.7	347857.5	280	2					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.181616		0		NW
73		350132.5	351543	280	2					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.449495		0		SE
74		354141.9	355519.2	320	1					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.552047		0		NE
75		358162.6	359392.8	120	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.618968		0		SE
76		362182.6	363438.3	120	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.343084		0		NE
77		366192	367514.8	120	1					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.335902		0		NE
78		370212.7	371297.8	160	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.474097		0		SW
79		374222.8	375455	160	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		0.9722236		0		SE
80		378242.3	379441.1	338	2					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.437466		0		NW
81		382259.3	383517.7	320	1					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.208377		0		NE
82		387139.5	388438.5	200	1					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.564186		0		SW
83		391159.8	392554.1	200	2					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.278611		0		NW
84		395180.1	396507.8	280	2					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.415124		0		NE
85		399189.1	400595.6	280	2					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.444065		0		SE
86		403209.6	404937.2	320	2					FALSE			FALSE					FALSE					"(0.0, 0.0, 0.0)"		1.202767		0		NW
87		407229.9	408381.2	280	2					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.304332		0		SE
88		411250.6	412467.1	280	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.369065		0		NW
89		415271.6	416435.7	240	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.491155		0		NW
90		419302.7	420791.8	320	2					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		0.6335881		0		SW
91		423323.1	425204.6	280	1					FALSE			FALSE					FALSE					"(0.0, 0.0, 0.0)"		1.09351		0		SE
92		427338.8	428754.6	200	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.168469		0		NW
93		431364.6	432836.7	200	1					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.091781		0		SW
94		439394.6	440739.6	200	1					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		0.558242		0		SW
95		443412.3	444555.8	240	1					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		0.5739732		0		SW
96		447433.8	448792.3	240	1					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.263516		0		SE
97		451450.1	452799	280	2					FALSE			FALSE					FALSE					"(0.0, 0.0, 0.0)"		1.284147		0		NW
98		455830.3	457292.4	240	2					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.336106		0		SW
99		459851.2	461038.3	240	2					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		0.7864886		0		NE
100		463873	465300.1	200	2					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		0.9749355		0		SW
101		467892.9	469041.4	160	1					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.019174		0		SW
102		471913.1	473130.1	240	1					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.30096		0		NE
103		475934.3	477227.8	240	2					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.108975		0		NW
104		479965.9	481200.1	240	1					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.180526		0		NE
105		483992.2	485092	280	2					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.719771		0		SW
106		488629.9	490116	200	2					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		0.9043474		0		NE
107		492647.8	493969.5	200	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		0.7680462		0		NW
108		496681	498112.5	240	2					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.253007		0		NE
109		501367.7	502454.7	240	2					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.115141		0		NW
110		505388.3	506569.8	280	1					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.03907		0		NE
111		509408.3	510546	280	1					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		0.9205305		0		NE
112		513430.8	514597.1	320	1					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		0.6580183		0		NE
113		517451	518549.1	320	2					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		0.7733924		0		NW
114		521481.1	522709.5	240	2					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		0.900869		0		NE
115		525512.4	526977.3	200	2					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		0.9626953		0		NW
116		529531.4	530938.9	200	1					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		0.9598488		0		SE
117		533554	534748.1	280	1					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.041431		0		NW
118		537570.4	538837.7	280	1					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		0.9393943		0		NE
119		541594.7	542967.8	320	2					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.455685		0		SE
120		545604.3	546947.9	240	2					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		0.9330499		0		NE
121		549627.4	551323.5	240	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.078034		0		SE
122		553645.4	555106.3	280	1					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.052397		0		SW
123		558615.6	559816.1	280	2					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		0.9943103		0		NE
124		565314.7	566601.4	240	1					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		0.8884556		0		NW
125		569337.8	570688.1	280	2					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.41656		0		NE
126		573357.8	574995.3	200	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.720941		0		NE
127		577379.3	578867.5	200	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.907716		0		SW
128		581400.4	582663.1	200	1					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.522086		0		SE
