Row,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10
10,138,132,159,158,174,155,186,197,233,243
13,131,162,159,160,161,160,161,169,164,180
17,138,194,135,166,194,190,144,200,196,174
15,130,160,160,163,177,173,173,197,168,188
6,89,152,118,84,122,125,133,160,127,135
1,184.4214719,187.7290987,195.7080389,203.5945508,198.681672,196.5294386,195.1415381,195.1195137,198.6768683,189.9969553
14,126.9184367,153.8206391,150.848431,169.3465789,156.5290605,157.5499473,182.2944257,172.3537917,171.1011719,185.7813903
11,129.9326338,144.0688158,151.3024001,136.6919145,118.2987584,146.0540467,133.6475214,131.8290577,136.6265909,146.0594003
2,156,150,159,151,160,162,160,163,162,169
9,146,171,187,194,173,185,186,209,191,194
12,156,187,173,184,175,173,181,168,171,176
16,142,172,162,172,197,178,187,196,233,209
7,193.4841377,260.4548914,205.2354878,194.1919755,215.3864982,191.7440781,221.7840493,240.5052132,211.6110242,222.2277835
4,220.7826218,211.1552192,235.2822261,258.7726677,271.5198075,222.0447771,240.780942,227.6527091,225.3928992,221.4545642
5,180,181,171,197,190,193,203,213,198,228
3,161,177,178,189,181,183,181,199,184,171
8,160,195,201,214,212,206,214,246,232,251
