Row,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10
LMI,160.06519299934,171.386899466826,173.785653045173,182.609554833383,203.615973054569,181.785474275557,215.954807110425,225.57647984662,249.042025111669,267.468023906879
PRS,177.646174327711,194.152510993711,186.267370116151,205.559139026173,202.901273666099,188.751489309695,193.843295323013,208.436894869472,230.515513366858,205.330821948012
WAS,200.981018750826,169.554906557531,192.287520856392,182.355853264519,189.703265721694,154.488672190692,225.264936895014,209.817951890144,236.819154306181,212.100192304151
RT,157.871602675487,163.897447180199,188.068549278986,217.32920866298,212.222337609887,211.448322907724,197.601997393383,187.043713984552,201.245025450903,237.931123052614
KAM,66.8404948617511,123.547945803567,129.400911157788,128.652648352373,149.494909604146,142.641906892053,190.56131295739,174.373463711592,161.430662088008,158.120193043131
CA,239.081078299813,225.336249663713,250.241872739032,247.213000220032,256.863131312198,251.383501215277,264.345500049083,250.464564184965,267.880236216275,234.72365392342
RKS,115.805423102183,187.312446661954,168.569309103786,186.80306936143,202.970518670954,194.397367469955,202.341620214745,218.610919404637,193.638169158033,222.457931843077
MJ,154.805742270823,153.005704374019,191.305654867487,125.957731552882,125.320874776814,145.153273159435,152.200388652633,129.980219450612,134.389942453462,156.404181621219
CSL,347.443715567309,358.510065897565,315.184949836687,335.309971279549,358.438812307266,359.263194281486,358.734125493462,359.294286416842,359.273024840043,359.300612411198
LAZ,358.558453544255,359.860979420679,359.506273503536,358.726085460613,359.036653634578,294.315924233195,358.609945791079,345.283575832001,358.662303480027,358.692841095518
NHG,302.786181785675,289.60982748375,358.7713456889,327.437903551991,358.843741316784,358.218206363315,358.406394509512,297.650719886251,294.054757674612,358.669899084145
SSM,256.59241017636,359.542695970068,358.959482904692,358.917918861363,358.825798781753,358.917699127046,358.891183501817,351.432458649194,356.743376758715,358.92207477155
KDB,358.683348943369,327.516923514949,358.514862055987,358.946744689252,334.048061855939,358.46600926005,358.69126421355,358.550800210676,358.651211009832,358.886656701454
ERP,358.800618590149,290.011461199004,358.653408196129,358.811447415055,358.922913116575,359.538102392519,347.656467097426,348.222711648014,355.166529856235,358.814334001422
JDF,276.219402831765,256.983769076411,286.898607284963,345.853139243035,339.282344851862,358.392053092046,351.409361468853,252.784113053752,342.843335852036,228.984327064284
DNC,319.139129372293,359.057855600252,358.46800393068,358.980339340456,358.524880261305,358.82986681873,290.177669453751,358.919083331342,358.115661153996,316.794116820919
KLO,195.638218036947,359.999999754811,358.8745295442,325.169225086413,356.887042969442,358.955830612649,358.931171183213,225.589124929776,243.216550636733,224.170951108318
