Row,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10
LMI,200.063469883529,192.924856643037,213.967539414207,215.606660963101,220.735558618866,263.465561029558,261.862957727653,256.894729179218,265.727534804601,276.03932605401
PRS,192.893859210501,194.311448861911,173.484542876875,198.827467611923,193.514807729544,220.97839659406,199.594033614592,234.729911958448,249.118523856491,250.911199460037
WAS,198.005535767905,223.440240153346,226.211134301523,217.198901786981,258.312466866332,234.599739818543,244.591802696685,255.650522148434,258.414508490255,224.493972628306
RT,207.472139307228,238.712375651076,204.039148370395,254.2124278013,227.486333875148,244.740834477568,240.654998263507,238.28319255367,252.364973949728,274.486447299396
KAM,108.032741203434,94.2359646072163,104.878728003757,159.869907585834,183.377328101626,182.975121716105,177.404406259228,209.594685470082,201.75159823785,210.150963151189
CA,187.720164972864,194.525952137228,199.80933288601,197.331718124689,196.966096383224,200.983083843113,201.208200046095,202.249937811381,194.039088933155,188.446110035427
RKS,142.829861848337,172.313183882394,159.753654815123,188.322168941981,181.210704797157,168.670680239686,196.1408800136,185.389314617235,179.109425565702,192.958066522024
MJ,120.58156404559,157.72988816245,133.702988899609,166.046470920236,115.219908064095,168.710582730341,122.596779962804,132.240811877113,154.081858967796,151.618770781358
CSL,151.078053059109,156.561795309001,159.824382335693,160.340832346266,160.72988789592,170.13997311048,160.117994738581,172.634551527774,169.86887775684,175.680475756774
LAZ,159.248254413641,175.317174955263,198.64030918343,216.985831755662,182.148460953973,200.922100316608,205.246216870942,222.778967223359,204.730119158575,218.559331574074
NHG,165.394116976041,202.203593883267,179.831269284529,195.878641361614,182.377480539017,179.894781647995,187.703080644971,174.197475668848,175.887373213514,185.967445262446
SSM,160.146317292758,180.04551262756,170.262104424435,184.716676858898,200.982008775785,194.421359250508,199.065390857335,211.02054100925,253.109659129012,233.675858278675
KDB,169.434456259802,195.177339837421,187.790706530152,162.587099761582,189.805133468221,170.156506337247,185.761625280255,191.775445042784,183.445151030891,183.82037258282
ERP,184.845198866406,187.181167355094,198.091492320954,221.409942893814,205.331543573755,201.156929746355,213.136871697972,206.363952596566,207.105969013516,193.219744568952
JDF,219.977448458641,217.927996221282,222.088516734238,259.206592560254,243.916805432881,244.101967833017,247.9673808212,261.76437562687,257.443500438658,261.296425796738
DNC,169.350141697521,190.006748509977,205.623168171166,198.190079168886,193.12942944973,195.268765434037,198.441731099615,221.486360435462,199.988821796259,182.860082679373
KLO,189.916491581144,200.709326990361,201.998752654848,223.550694612102,221.285171828406,221.557089265575,218.093587095035,256.891802558421,240.149934861808,263.279105499948
